id,skin_r_forehead,skin_g_forehead,skin_b_forehead,skin_r_cheek,skin_g_cheek,skin_b_cheek,skin_r_jaw,skin_g_jaw,skin_b_jaw,skin_lab_l,skin_lab_a,skin_lab_b,undertone,skin_depth,tan_level,hair_r,hair_g,hair_b,eye_r,eye_g,eye_b,contrast_score,chroma_score,value_score,season,subseason,primary_colors,secondary_colors,neutral_colors,accent_colors,avoid_colors_strict,avoid_colors_soft
314,215,170,138,218,170,133,195,161,124,67,19,16,warm,light,none,73,38,48,41,25,31,0.474,0.275,0.675,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
315,215,191,128,221,187,116,206,173,116,67,12,33,neutral,medium,heavy,98,61,40,52,1,5,0.425,0.353,0.678,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
316,195,175,171,202,168,156,183,160,149,68,12,3,warm,light,none,28,41,7,29,55,23,0.586,0.122,0.681,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
317,235,184,151,237,183,140,212,174,133,72,22,19,neutral,deep,none,43,76,71,20,35,39,0.511,0.322,0.725,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
318,196,156,173,198,150,160,175,140,153,65,19,-7,cool,medium,none,44,8,0,14,35,48,0.592,0.149,0.658,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
319,237,146,168,238,143,162,213,137,162,70,42,-12,neutral,light,mild,65,21,12,57,8,4,0.58,0.333,0.703,Summer,light_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
320,199,211,124,209,210,112,187,201,112,68,-5,46,cool,medium,none,43,64,39,37,21,48,0.516,0.365,0.688,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
321,166,155,120,175,145,108,151,136,108,55,10,16,neutral,deep,heavy,100,84,0,39,32,21,0.326,0.204,0.553,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
322,221,170,167,230,170,160,211,156,156,72,25,2,warm,medium,mild,100,53,0,68,21,0,0.533,0.216,0.725,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
323,211,164,188,219,164,173,200,159,170,72,22,-7,cool,medium,mild,102,53,33,32,40,23,0.48,0.176,0.72,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
324,190,191,175,199,190,170,180,178,166,72,0,7,neutral,medium,mild,101,35,33,41,37,34,0.517,0.059,0.724,Spring,light_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
325,221,161,160,221,155,147,199,148,137,67,28,1,warm,medium,heavy,17,60,25,56,60,41,0.568,0.231,0.677,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
326,221,207,171,228,207,162,213,201,161,77,5,20,cool,medium,none,21,36,69,22,7,33,0.632,0.2,0.774,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
327,173,182,179,178,173,168,153,168,166,67,-2,0,cool,medium,mild,104,16,8,66,53,7,0.536,0.02,0.672,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
328,171,200,182,181,194,170,163,187,166,70,-11,9,neutral,light,mild,93,28,63,35,34,17,0.487,0.09,0.706,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
329,190,162,108,192,160,100,172,149,90,58,11,27,neutral,deep,heavy,64,34,64,56,35,35,0.402,0.302,0.584,Summer,cool_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
330,246,174,132,249,172,122,233,163,119,70,33,22,cool,medium,heavy,40,67,78,48,39,49,0.522,0.439,0.703,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
331,232,180,142,236,171,131,218,159,125,69,27,17,cool,deep,none,102,0,0,62,10,34,0.57,0.353,0.697,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
332,224,159,143,234,153,134,219,147,130,67,35,7,warm,deep,mild,60,59,1,68,10,38,0.531,0.333,0.675,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
333,239,199,156,246,195,146,223,184,136,76,20,22,cool,medium,mild,77,29,47,33,16,1,0.572,0.333,0.761,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
334,245,138,179,245,137,173,229,128,171,71,49,-20,cool,deep,mild,103,71,60,47,54,31,0.428,0.384,0.719,Summer,light_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
335,198,153,136,208,145,126,193,140,116,61,26,7,cool,deep,none,22,60,0,59,27,15,0.534,0.263,0.62,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
336,197,180,178,201,172,165,185,165,158,69,9,1,cool,medium,none,28,25,53,19,48,46,0.564,0.082,0.697,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
337,199,138,147,202,138,141,177,128,134,62,27,-4,neutral,light,heavy,79,79,16,53,7,6,0.413,0.212,0.622,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
338,193,157,117,199,154,110,184,148,104,59,17,19,neutral,medium,heavy,83,35,21,33,54,30,0.42,0.29,0.599,Autumn,soft_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
339,190,218,115,191,209,106,176,200,102,65,-14,49,warm,medium,none,13,27,48,68,6,0,0.58,0.384,0.655,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
340,219,162,106,227,155,97,212,140,87,61,31,26,cool,deep,mild,98,63,64,44,4,31,0.352,0.451,0.62,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
341,184,151,133,188,151,120,173,136,118,59,13,13,warm,light,none,50,65,3,47,8,0,0.446,0.208,0.593,Autumn,soft_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
342,195,142,143,203,133,130,186,126,123,60,30,-1,neutral,medium,heavy,17,86,64,43,26,31,0.443,0.235,0.603,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
343,184,191,115,190,187,109,166,174,102,62,-3,36,warm,light,mild,18,70,12,18,2,38,0.509,0.286,0.629,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
344,227,212,164,229,210,151,204,195,148,76,4,27,cool,medium,heavy,81,49,36,49,7,32,0.552,0.247,0.765,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
345,247,145,143,248,140,136,229,131,132,67,49,0,warm,medium,heavy,45,79,68,37,58,31,0.488,0.384,0.678,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
346,211,151,145,216,143,135,197,131,126,63,31,1,neutral,deep,mild,48,18,28,61,52,8,0.523,0.259,0.639,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
347,180,156,169,182,149,160,159,141,154,63,11,-8,cool,light,mild,11,83,54,69,42,21,0.468,0.09,0.635,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
348,168,138,179,173,137,165,154,129,161,61,13,-16,warm,medium,none,84,1,4,56,9,20,0.519,0.129,0.614,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
349,173,194,147,180,190,140,165,184,136,66,-10,22,warm,medium,heavy,79,22,14,59,31,49,0.525,0.176,0.66,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
350,235,185,155,244,183,146,220,177,144,74,25,16,neutral,medium,mild,56,0,16,66,6,0,0.655,0.325,0.742,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
351,199,180,115,199,171,104,174,160,104,61,9,31,neutral,light,none,51,39,3,16,19,0,0.495,0.314,0.613,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
352,202,180,165,210,175,153,194,164,150,69,12,8,cool,medium,heavy,53,0,7,69,47,5,0.621,0.165,0.697,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
353,229,181,118,233,174,107,215,164,98,66,24,31,warm,deep,heavy,26,70,20,61,38,48,0.547,0.435,0.665,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
354,219,150,183,220,140,175,205,133,169,69,35,-20,warm,medium,none,107,28,77,29,0,27,0.417,0.275,0.693,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
355,200,208,123,204,206,109,186,200,104,67,-6,46,cool,deep,mild,85,16,6,15,8,46,0.554,0.361,0.672,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
356,181,184,111,184,184,104,159,171,100,61,-5,37,neutral,medium,mild,10,45,0,53,25,41,0.547,0.294,0.61,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
357,195,139,137,200,130,132,180,116,124,59,30,-3,neutral,deep,mild,75,46,9,22,25,39,0.434,0.235,0.597,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
358,242,169,115,250,166,102,225,159,95,67,37,29,cool,light,mild,77,0,47,54,17,0,0.545,0.522,0.671,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
359,180,151,135,188,141,123,168,129,116,58,18,6,cool,deep,heavy,74,17,47,46,19,30,0.41,0.196,0.584,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
360,166,206,180,172,200,172,156,193,170,70,-19,11,cool,deep,none,93,21,35,68,34,39,0.541,0.149,0.705,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
361,239,136,130,248,130,123,224,122,119,64,54,1,neutral,light,mild,43,80,77,31,23,45,0.471,0.431,0.648,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
362,182,144,149,186,140,144,163,135,134,60,18,-4,cool,medium,heavy,97,37,0,48,25,0,0.448,0.141,0.608,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
363,184,188,126,189,182,112,171,175,102,62,-1,32,neutral,light,mild,17,42,67,30,2,43,0.499,0.255,0.625,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
364,241,149,134,244,144,121,224,135,115,65,45,9,warm,medium,none,110,69,38,54,56,35,0.384,0.424,0.659,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
365,218,187,170,225,180,161,207,169,159,73,17,7,cool,medium,heavy,12,42,48,49,57,40,0.618,0.192,0.733,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
366,182,159,151,192,149,143,176,138,142,62,16,0,warm,light,none,38,45,0,39,15,0,0.524,0.133,0.626,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
367,186,193,150,195,190,144,177,178,134,68,-2,20,neutral,deep,none,102,78,10,56,45,14,0.446,0.161,0.685,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
368,227,174,162,227,174,156,212,161,154,72,21,6,neutral,medium,none,110,86,0,12,51,5,0.482,0.22,0.722,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
369,225,157,121,230,152,110,210,137,104,63,34,18,neutral,light,none,28,0,39,38,56,35,0.581,0.412,0.637,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
370,180,197,106,187,189,100,170,177,100,61,-6,42,warm,medium,heavy,12,56,22,14,38,0,0.516,0.329,0.616,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
371,176,170,110,182,160,96,161,147,87,56,6,29,neutral,medium,mild,102,84,25,46,12,19,0.291,0.278,0.566,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
372,181,146,112,182,136,102,157,127,100,54,18,14,neutral,medium,mild,86,26,57,18,12,0,0.336,0.255,0.542,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
373,173,157,153,178,149,147,158,144,143,61,9,-1,neutral,light,mild,85,39,0,19,6,32,0.465,0.075,0.613,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
374,233,210,138,235,209,128,213,195,123,74,8,38,cool,medium,none,74,77,63,18,50,20,0.482,0.361,0.741,Summer,light_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
375,168,188,112,177,180,98,154,169,89,58,-6,38,cool,light,mild,108,85,44,36,57,10,0.287,0.302,0.588,Summer,cool_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
376,237,158,141,239,154,132,224,145,124,67,37,8,neutral,medium,mild,17,42,57,11,31,2,0.573,0.361,0.68,Summer,cool_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
377,165,185,112,173,180,100,154,173,100,58,-8,37,warm,deep,heavy,14,41,0,47,33,17,0.52,0.294,0.586,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
378,201,211,118,210,202,109,185,196,100,67,-1,44,warm,light,heavy,56,55,16,37,51,1,0.517,0.345,0.675,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
379,245,177,121,250,170,113,230,158,111,69,35,26,warm,light,heavy,71,77,0,49,50,0,0.513,0.478,0.69,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
380,230,157,102,233,152,95,210,141,87,62,35,26,cool,deep,none,54,73,0,36,49,13,0.48,0.482,0.621,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
381,244,197,143,250,187,135,232,179,132,74,26,23,cool,deep,mild,94,13,62,43,30,46,0.545,0.392,0.741,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
382,209,198,111,213,188,106,188,176,103,65,7,38,warm,light,heavy,57,63,46,46,2,22,0.46,0.361,0.656,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
383,210,217,141,211,207,131,192,201,121,71,-3,35,neutral,medium,mild,61,27,14,67,59,0,0.586,0.278,0.711,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
384,221,169,173,221,166,161,206,153,157,70,22,0,warm,medium,mild,68,12,53,24,33,0,0.541,0.176,0.71,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
385,164,211,146,174,205,140,152,196,134,67,-20,30,cool,light,none,74,12,0,52,34,0,0.584,0.235,0.672,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
386,204,169,118,208,165,111,191,156,103,62,16,24,warm,deep,none,51,43,77,20,33,40,0.442,0.322,0.626,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
387,172,147,167,175,142,158,153,136,156,61,11,-10,neutral,deep,heavy,105,6,41,45,59,21,0.436,0.09,0.614,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
388,191,155,159,192,147,144,176,134,144,62,17,-1,neutral,light,none,52,0,29,36,1,3,0.522,0.137,0.625,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
389,200,151,142,204,146,136,188,132,127,62,24,2,cool,deep,mild,93,5,0,63,20,8,0.507,0.208,0.629,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
390,202,219,159,209,210,145,189,201,136,73,-5,30,neutral,medium,heavy,85,1,13,61,51,19,0.623,0.235,0.731,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
391,190,162,176,190,152,163,175,144,159,65,14,-8,neutral,medium,none,43,15,61,47,39,37,0.502,0.11,0.654,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
392,205,171,165,206,164,157,185,157,153,68,16,1,neutral,deep,none,78,56,0,22,32,0,0.516,0.133,0.682,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
393,202,168,154,203,166,143,180,156,142,66,13,9,neutral,light,mild,26,40,61,67,28,0,0.514,0.176,0.663,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
394,197,160,132,197,151,121,179,139,113,60,18,12,cool,deep,mild,88,23,56,47,22,7,0.4,0.239,0.607,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
395,209,143,147,209,138,132,191,133,122,61,30,0,neutral,light,mild,48,68,20,49,18,16,0.461,0.243,0.62,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
396,177,154,163,180,144,153,164,133,143,61,13,-7,neutral,deep,heavy,74,59,80,50,23,43,0.34,0.102,0.617,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
397,241,205,158,246,198,148,225,193,142,76,19,22,warm,light,heavy,33,35,0,47,12,0,0.685,0.325,0.767,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
398,181,200,114,181,195,102,163,186,95,61,-12,44,neutral,light,heavy,103,45,22,22,31,9,0.42,0.345,0.618,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
399,221,153,164,227,146,149,206,140,145,67,35,-4,neutral,light,heavy,78,57,48,52,18,2,0.445,0.278,0.676,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
400,178,204,172,186,199,164,161,191,154,71,-11,15,neutral,light,none,104,7,29,56,22,40,0.563,0.118,0.711,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
401,186,166,119,195,163,104,179,158,95,59,11,27,cool,light,none,36,59,0,21,5,0,0.48,0.298,0.597,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
402,243,161,187,245,156,175,224,148,173,74,39,-12,cool,light,mild,63,87,67,21,12,24,0.492,0.31,0.746,Summer,light_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
403,222,187,173,223,180,166,206,174,162,73,16,4,neutral,light,heavy,109,60,73,47,50,9,0.423,0.165,0.737,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
404,177,170,125,177,166,115,157,159,111,59,0,23,neutral,light,mild,55,18,67,69,14,36,0.438,0.184,0.592,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
405,175,209,117,178,202,106,154,194,97,62,-17,45,warm,medium,mild,49,77,52,35,40,0,0.414,0.357,0.629,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
406,228,149,127,236,143,114,219,135,114,63,41,12,neutral,deep,mild,53,21,10,37,34,5,0.54,0.42,0.638,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
407,190,135,165,194,134,153,174,127,147,62,25,-12,neutral,medium,none,90,35,56,65,7,32,0.386,0.196,0.622,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
408,167,206,110,173,202,104,158,197,100,61,-19,46,cool,deep,none,43,57,19,50,4,10,0.473,0.365,0.62,Summer,cool_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
409,172,199,129,173,192,116,148,181,113,62,-14,35,cool,medium,heavy,42,68,74,59,33,11,0.407,0.278,0.622,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
410,172,174,182,179,169,167,159,156,165,66,0,-1,neutral,deep,none,74,21,49,52,13,19,0.487,0.012,0.667,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
411,199,162,161,199,162,147,183,154,144,65,13,5,cool,light,none,89,18,2,61,52,0,0.523,0.145,0.658,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
